id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
14SaZBTjxlorHJQxXh01Hu,Girls Need Love (with Drake) - Remix,"['Summer Walker', 'Drake']",222374,10/19/18,2018,0.443,0.656,0.432,0.0,0.132,-9.481,0.217,97.022,0.0897,0,6,80,1,2
7tGlzXJv6GD5e5qlu5YmDg,Love Me,"['Lil Wayne', 'Drake', 'Future']",253440,1/1/13,2013,0.0119,0.674,0.608,0.0,0.103,-6.628,0.0334,124.952,0.464,0,8,66,1,1
20FLGZPgMHXlU0VpQ0HpxN,Time Has Told Me,['Nick Drake'],264613,7/3/69,1969,0.739,0.601,0.298,0.75,0.103,-14.642,0.0316,110.28,0.472,1,0,47,0,2
5tkDCf3xKRZjT5RbCb3sZB,Big Amount,"['2 Chainz', 'Drake']",188069,6/16/17,2017,0.0124,0.687,0.829,0.0,0.107,-4.204,0.26,133.854,0.154,0,3,56,1,1
0Tacxc5lDJ8LwiO1pWNSl8,The Motion,['Drake'],240957,8/2/19,2019,0.371,0.631,0.788,0.000317,0.108,-7.142,0.102,157.769,0.544,0,4,64,1,1
0hNVjU6JKydHts0SAjHCno,One Of These Things First,['Nick Drake'],290733,3/6/70,1970,0.836,0.604,0.37,0.346,0.0954,-18.45,0.0362,90.339,0.666,1,4,61,0,2
4I6XOCJho4nYHe0ir6hxbh,"Kiss Me, Kate: I've Come to Wive It Wealthily in Padua","['Cole Porter', 'Alfred Drake', 'Kiss Me, Kate Ensemble', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",130333,1949,1949,0.86,0.692,0.362,0.0,0.483,-13.765,0.378,117.702,0.779,1,10,0,0,2
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home","['Drake', 'Majid Jordan']",227880,1/1/13,2013,0.00415,0.776,0.413,2.68e-05,0.0724,-7.438,0.0952,100.003,0.287,0,6,71,0,1
2mmUoyPxzbxehpfm1TpTRK,Star67,['Drake'],294973,2/12/15,2015,0.747,0.521,0.392,8.81e-06,0.198,-7.88,0.17,91.939,0.166,1,3,60,1,0
1PWnjvzT5Jhpfnh96DRNDh,Best I Ever Had,['Drake'],258800,1/1/09,2009,0.102,0.441,0.904,0.0,0.196,-2.636,0.359,161.74,0.529,1,1,47,0,1
3lkkkYc1wBj5l3FVlpqvP6,A Night Off (feat. Lloyd),"['Drake', 'Lloyd']",193963,2009,2009,0.374,0.611,0.508,3.87e-06,0.168,-5.573,0.0741,103.612,0.368,0,11,49,1,1
4B7fTyj1FIPvP9tT5X3DnR,Behind Barz - Bonus,['Drake'],163121,9/13/19,2019,0.769,0.854,0.554,1.84e-06,0.0749,-4.684,0.172,142.069,0.272,1,8,68,1,2
6RbH4isVKIOg1OY1HvRqFc,LOYAL (feat. Drake and Bad Bunny) - Remix,"['PARTYNEXTDOOR', 'Drake', 'Bad Bunny']",281120,2/7/20,2020,0.479,0.877,0.529,0.00159,0.094,-6.235,0.0461,104.984,0.422,0,0,63,1,1
55YHftnlehUQQJoTSLKCxj,Up All Night,"['Drake', 'Nicki Minaj']",234333,1/1/10,2010,0.00778,0.606,0.809,1.59e-05,0.336,-4.667,0.279,156.337,0.272,1,7,57,1,1
0GaBIpyHvytM1UBYmqXu08,From Time,"['Drake', 'Jhené Aiko']",322160,1/1/13,2013,0.626,0.738,0.491,0.0,0.126,-9.726,0.413,94.378,0.448,0,1,68,1,2
1drLQNS9D5z9lBP4DbtO2R,Saturday Sun,['Nick Drake'],245013,7/3/69,1969,0.966,0.546,0.121,0.011,0.101,-20.259,0.0343,127.122,0.144,1,0,60,0,0
5nN8BwAQDJDguq7Dpd3JQQ,Where Ya At (feat. Drake),"['Future', 'Drake']",208027,7/17/15,2015,0.0933,0.813,0.453,0.0,0.14,-6.941,0.338,161.997,0.191,1,1,67,1,1
0q7LGcVSpsIoSbjChtZ8lI,Uptown (feat. Bun B & Lil Wayne),"['Drake', 'Bun B', 'Lil Wayne']",382262,2009,2009,0.00391,0.416,0.824,0.0,0.104,-3.075,0.343,85.433,0.417,1,1,61,1,1
